,id,city,temp,long,lat,humidity,cloudiness,wind speed
81,4955336,weymouth,-5.28,-70.9398,42.2209,73,75,3.09
82,3421765,nanortalik,-4.39,-45.2371,60.1432,87,50,4.81
83,6185377,yellowknife,-26.77,-114.3525,62.456,76,40,2.06
84,3445459,varzea da palma,19.9,-44.7308,-17.5981,92,70,0.8
85,3868626,valparaiso,17.78,-71.6273,-33.0393,80,83,1.43
86,3424607,tasiilaq,-11.0,-37.6368,65.6145,48,72,3.09
87,2094342,kavieng,27.44,150.7967,-2.5744,80,72,3.78
88,2445704,diffa,17.63,12.6113,13.3154,30,0,3.98
89,6149374,slave lake,-26.0,-114.769,55.2834,64,90,6.69
90,5880054,barrow,-42.0,-156.7887,71.2906,83,1,5.66
91,6089245,norman wells,-27.0,-126.8329,65.282,76,20,3.09
92,2016757,shelopugino,-9.56,117.5599,51.6514,95,100,3.2
93,3533462,acapulco,23.36,-99.8901,16.8634,80,0,3.09
94,5106841,albany,-6.81,-73.9662,42.6001,47,100,0.66
95,964432,port alfred,25.0,26.891,-33.5906,90,31,0.45
96,3466704,castro,15.76,-50.0119,-24.7911,97,92,2.9
97,4032243,vaini,28.0,-175.2,-21.2,83,20,4.63
98,1805680,jingdezhen,13.22,117.2079,29.2947,84,96,1.47
99,5606401,sandpoint,-12.5,-116.5533,48.2766,57,1,3.09
100,1850892,takayama,9.63,137.25,36.1333,50,20,1.54
101,2129218,yoichi,0.15,140.7703,43.2039,64,75,8.75
102,3466165,cidreira,22.91,-50.2056,-30.1811,83,45,6.08
103,1273109,devarkonda,28.68,78.9333,16.7,27,10,3.75
104,6167817,torbay,-7.51,-52.7314,47.6666,73,75,11.32
105,3393692,itarema,25.28,-39.9167,-2.9248,89,79,3.65
106,2184707,wanaka,14.98,169.15,-44.7,54,83,3.28
107,2122104,petropavlovsk-kamchatskiy,-1.0,158.6483,53.0452,86,40,5.0
108,3372707,ribeira grande,15.22,-28.7,38.5167,70,43,12.72
109,2630299,hofn,4.11,-15.2082,64.2539,72,100,6.51
110,2214432,nalut,9.81,10.85,30.3333,44,0,1.93
111,2109701,auki,27.28,160.7034,-8.7676,83,97,4.25
112,5134693,rye,-2.74,-73.6837,40.9807,68,90,1.54
113,6050066,la ronge,-34.5,-105.2842,55.1001,68,79,1.54
114,4845585,westport,-2.39,-73.3579,41.1415,59,90,1.54
115,779622,havoysund,-4.0,24.6622,70.9963,80,40,6.69
116,902620,mwinilunga,18.04,24.4293,-11.7358,97,100,2.56
117,5557293,sitka,-6.0,-135.33,57.0531,53,1,1.54
118,3894426,coihaique,19.0,-72.0662,-45.5752,59,0,3.6
119,94787,kirkuk,15.64,44.3922,35.4681,43,0,1.44
120,2071860,esperance,20.0,121.9,-33.8667,52,90,6.69
121,2381334,atar,17.08,-13.0499,20.5169,25,0,4.65
122,1734715,marang,27.5,103.2059,5.2056,69,60,2.62
123,878006,mbekenyera,22.61,38.9833,-10.0,95,100,2.65
124,4034551,faanui,27.2,-151.75,-16.4833,73,51,8.09
125,2661468,blonay,-3.05,6.8962,46.4678,96,100,1.34
126,2013279,vostok,-6.8,135.8833,46.4856,92,2,1.17
127,2738381,lata,13.53,-8.3327,40.1629,94,100,0.45
128,2126123,chokurdakh,-25.81,147.9167,70.6333,88,30,3.43
129,778362,oksfjord,-9.0,22.3479,70.2396,85,75,0.51
130,236950,obo,23.76,26.4869,5.3998,25,86,0.37
131,1784554,zhicheng,17.93,111.5047,30.2956,50,39,1.92
132,1513491,komsomolskiy,10.0,71.7189,40.4272,71,89,1.03
133,3455168,paracatu,19.39,-46.8747,-17.2222,97,96,0.26
134,1718307,carmona,30.07,121.0167,14.3,79,20,4.12
135,491158,sokolovskoye,9.02,40.6797,45.2583,83,62,4.08
136,286621,salalah,25.0,54.0924,17.0151,38,0,4.12
137,2094027,kieta,27.16,155.6333,-6.2167,80,99,2.63
138,6255012,flinders,25.86,150.8552,-34.5833,61,3,1.79
139,103630,najran,14.0,44.1277,17.4924,58,0,0.67
140,110690,faya,10.99,42.4509,18.3851,76,0,1.33
141,5703673,elko,1.13,-115.5012,41.0002,71,24,3.58
142,2070998,geraldton,26.0,114.6,-28.7667,47,0,11.32
143,2088122,port moresby,32.0,147.1797,-9.4431,66,40,5.66
144,3608248,la ceiba,22.0,-86.7822,15.7597,94,40,2.06
145,3833062,venado tuerto,16.43,-61.9688,-33.7456,65,0,2.53
146,3527451,general teran,21.23,-99.6833,25.2667,82,46,0.89
147,1497497,nizhniy ingash,-18.79,96.53,56.2,86,100,3.49
148,3372760,praia da vitoria,13.14,-27.0667,38.7333,71,20,11.52
149,495670,sharlyk,-12.49,54.75,52.9167,94,100,4.94
150,3985710,cabo san lucas,16.68,-109.9124,22.8909,80,5,6.79
151,3175788,oga,-2.31,10.347,46.4631,54,75,6.69
152,6324729,halifax,-9.36,-63.5724,44.6453,68,34,3.09
153,3468031,camacari,27.0,-38.3242,-12.6975,74,40,4.12
154,1337617,muli,27.49,73.5667,2.9167,70,34,5.68
155,3355672,luderitz,19.76,15.1594,-26.6481,75,38,3.04
156,5282297,bethel,-4.52,-73.414,41.3712,74,90,0.43
157,964090,prieska,27.96,22.7474,-29.6641,40,85,2.03
158,4726521,san patricio,12.0,-97.5169,28.017,94,90,6.17
159,7671223,kloulklubed,30.0,134.2556,7.0419,74,90,4.63
160,88533,awjilah,13.62,21.2869,29.1081,35,0,3.63
161,5354943,half moon bay,9.13,-122.4286,37.4636,66,1,2.57
162,1131461,uruzgan,11.7,66.0,32.8333,35,5,3.38
163,108410,riyadh,13.89,46.7219,24.6877,31,0,2.47
